n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
6,11,chi2,KNN,0.8357915437561455,0.8716857993802837,0.8410049819335942,0.833063852665991
6,11,chi2,RandomForest,0.8977384464110127,0.898043986372599,0.8984138537826205,0.8977285583196108
6,11,chi2,LogisticRegression,0.8864306784660767,0.8873000634841987,0.8873731649264907,0.8864304314059905
6,11,chi2,DecisionTree,0.8977384464110127,0.898043986372599,0.8984138537826205,0.8977285583196108
6,11,chi2,SimpleLogistic,0.8962635201573255,0.8964907055720154,0.8968879127856724,0.8962502541321711
6,11,chi2,JRIP,0.5058997050147492,0.7025765564061823,0.5217193720459998,0.3763642803601288
7,11,chi2,NaiveBayes,0.8505408062930186,0.8673715664866107,0.8492783893941371,0.8484660748455096
7,11,chi2,KNN,0.8362831858407079,0.8777533039647577,0.8343283582089552,0.8310794279981056
7,11,chi2,RandomForest,0.9026548672566371,0.9046949621992257,0.9022467835748371,0.9024553054575155
7,11,chi2,LogisticRegression,0.8785644051130777,0.8810876718310189,0.8780891461062037,0.8782522045671599
7,11,chi2,DecisionTree,0.9021632251720747,0.9043751216663423,0.9017376673483892,0.9019493325187597
7,11,chi2,SimpleLogistic,0.8967551622418879,0.8984353813569619,0.8963810684188387,0.8965702607415442
7,11,chi2,JRIP,0.5285152409046214,0.7299833113405263,0.5229203835052144,0.3871081970962981
8,11,chi2,NaiveBayes,0.8584070796460177,0.8756449150158717,0.8619308943089431,0.8574805486757529
8,11,chi2,KNN,0.8352999016715831,0.8714915287538569,0.8403803716608594,0.8324994647229698
8,11,chi2,RandomForest,0.8972468043264503,0.8979216592670565,0.8980807200929153,0.8972455873150007
8,11,chi2,LogisticRegression,0.8859390363815143,0.8873174228042308,0.8870325203252033,0.8859362793252012
8,11,chi2,DecisionTree,0.8972468043264503,0.8980717812943626,0.8981445993031358,0.8972465807958963
8,11,chi2,SimpleLogistic,0.8972468043264503,0.8980717812943626,0.8981445993031358,0.8972465807958963
8,11,chi2,JRIP,0.5063913470993117,0.7104377104377104,0.5217770034843205,0.3759241330751628
9,11,chi2,NaiveBayes,0.8643067846607669,0.8850995892428117,0.8606727219058035,0.8614911809755403
9,11,chi2,KNN,0.8343166175024582,0.8772650999263094,0.8289959497321597,0.8277547670626832
9,11,chi2,RandomForest,0.8997050147492626,0.9002333943102252,0.899141072232196,0.8994903495853035
9,11,chi2,LogisticRegression,0.8824975417895772,0.8844947701194286,0.881374574770267,0.8820229995522404
9,11,chi2,DecisionTree,0.9021632251720747,0.9031957957117193,0.9014004151887464,0.9018917242547762
9,11,chi2,SimpleLogistic,0.8947885939036382,0.8955798051076901,0.894095899890154,0.8945233442668714
9,11,chi2,JRIP,0.5363815142576205,0.7320934038267874,0.5214127063241278,0.3882082385081439
0,11,f_classif,NaiveBayes,0.8652900688298918,0.8796816352371908,0.8652900688298919,0.8640013353011455
0,11,f_classif,KNN,0.7713864306784661,0.842340716167431,0.7713864306784661,0.7588933582170023
0,11,f_classif,RandomForest,0.9124877089478859,0.912717553131285,0.912487708947886,0.9124755232583438
0,11,f_classif,LogisticRegression,0.8933136676499508,0.8942288310359263,0.8933136676499508,0.8932517162443724
0,11,f_classif,DecisionTree,0.9124877089478859,0.912717553131285,0.912487708947886,0.9124755232583438
0,11,f_classif,SimpleLogistic,0.8938053097345132,0.9032945097445129,0.8938053097345133,0.893176944286402
0,11,f_classif,JRIP,0.5186823992133727,0.711300411162628,0.5186823992133727,0.37661564372956335
1,11,f_classif,NaiveBayes,0.8618485742379548,0.8782664703717336,0.8581728046559851,0.8593141826704741
1,11,f_classif,KNN,0.7900688298918387,0.8557432432432432,0.7823649337410805,0.776624645879601
1,11,f_classif,RandomForest,0.9110127826941986,0.9108710801393728,0.9109534140115181,0.9109102590628437
1,11,f_classif,LogisticRegression,0.8913470993117011,0.892174704276615,0.8905312039868615,0.8910225499929088
1,11,f_classif,DecisionTree,0.9134709931170109,0.913479207209162,0.9132230324890875,0.9133369291238698
1,11,f_classif,SimpleLogistic,0.8972468043264503,0.9006614856174912,0.895671606680781,0.8966466178684802
1,11,f_classif,JRIP,0.5344149459193707,0.7064984010963911,0.5175035068001429,0.3824457571555669
2,11,f_classif,NaiveBayes,0.8446411012782694,0.8629557318092889,0.845856766018674,0.842967210807768
2,11,f_classif,KNN,0.7517207472959685,0.8303870526097632,0.7543455221975539,0.7372716118443012
2,11,f_classif,RandomForest,0.9016715830875123,0.9027817611037905,0.9019685389607879,0.9016407712059886
2,11,f_classif,LogisticRegression,0.8810226155358899,0.883386137459182,0.8814554308390901,0.8809119659972439
2,11,f_classif,DecisionTree,0.9016715830875123,0.9027817611037905,0.9019685389607879,0.9016407712059886
2,11,f_classif,SimpleLogistic,0.880039331366765,0.8855811193030015,0.8806953995869142,0.8797248893692715
2,11,f_classif,JRIP,0.5117994100294986,0.6802087081684058,0.5169488903156934,0.3729992205027339
3,11,f_classif,NaiveBayes,0.8402163225172075,0.8561116978412224,0.8445024636648176,0.8393773658762735
3,11,f_classif,KNN,0.7497541789577188,0.8270235520938518,0.7593723852613964,0.7384419842520401
3,11,f_classif,RandomForest,0.8982300884955752,0.8981250235677344,0.8987592581115003,0.8981757202692078
3,11,f_classif,LogisticRegression,0.8790560471976401,0.8795651147855557,0.8800503191917939,0.8790418964810359
3,11,f_classif,DecisionTree,0.8982300884955752,0.8981250235677344,0.8987592581115003,0.8981757202692078
3,11,f_classif,SimpleLogistic,0.8770894788593904,0.8873293586012729,0.8805025721280486,0.8767916696146208
3,11,f_classif,JRIP,0.49803343166175024,0.6756993266292901,0.5172078852768911,0.36715088170734944
4,11,f_classif,NaiveBayes,0.8574237954768928,0.8703370179992435,0.8568735116069279,0.8560318425756792
4,11,f_classif,KNN,0.7777777777777778,0.8467796610169491,0.7764589515331355,0.7655785775116908
4,11,f_classif,RandomForest,0.9154375614552606,0.9156714287787674,0.9153708038555364,0.9154139264990329
4,11,f_classif,LogisticRegression,0.9060963618485742,0.9072960240898402,0.9059393591316631,0.9060003663259804
4,11,f_classif,DecisionTree,0.9164208456243854,0.916740623170242,0.9163425196736195,0.9163916636361527
4,11,f_classif,SimpleLogistic,0.900196656833825,0.9095004159898579,0.8997551856267276,0.899551572561291
4,11,f_classif,JRIP,0.5240904621435595,0.7177182522025451,0.5212892783487213,0.38324480981539744
5,11,f_classif,NaiveBayes,0.8579154375614553,0.8756459328670956,0.8543960511033681,0.8552304966940669
5,11,f_classif,KNN,0.7718780727630286,0.8459336799854041,0.7642595818815331,0.7553952807038824
5,11,f_classif,RandomForest,0.9144542772861357,0.9153459613232184,0.9137572590011614,0.914230044058415
5,11,f_classif,LogisticRegression,0.8952802359882006,0.897528431917164,0.8940998838559814,0.8948305691003229
5,11,f_classif,DecisionTree,0.9144542772861357,0.9155176034156927,0.9136933797909408,0.9142124139375376
5,11,f_classif,SimpleLogistic,0.900196656833825,0.9050916382721017,0.8984785133565621,0.8995193059978823
5,11,f_classif,JRIP,0.5383480825958702,0.7345821838569013,0.5229616724738676,0.3915795811293167
6,11,f_classif,NaiveBayes,0.8579154375614553,0.8742553677661434,0.8614587860420682,0.8570638299217486
6,11,f_classif,KNN,0.7571288102261554,0.8327691266079892,0.7649857278782113,0.74598653076083
6,11,f_classif,RandomForest,0.9056047197640118,0.9056391613530119,0.9060914712820131,0.9055813499182328
6,11,f_classif,LogisticRegression,0.8928220255653884,0.8931823259025582,0.8935248414289351,0.8928136313004733
