Accuracy,Precision,Recall,F1_Score,RoC_AuC,Modelo,Método LR,Método SigAPI,Método RFG,Método SigPID,Método JOWMDroid,Dataset,Combinação
79.21654695397712,75.61540079949506,64.64028776978418,69.69843886357026,76.20469432811707,SVM,0,0,0,0,0,drebin_215_intents,ORIGINAL
95.62383612662944,97.9835552075176,90.01798561151078,93.83202099737532,94.46551454488582,SVM,0,0,0,0,0,drebin_215_permissions,ORIGINAL
89.51846338336848,58.03108808290155,1.1012782694198622,2.161536234681077,50.50385186084843,SVM,0,0,0,0,0,androcrawl_permissions,ORIGINAL
97.78563453665798,96.42609299097847,81.976401179941,88.61607142857143,90.80971580449882,SVM,0,0,0,0,0,androcrawl_all,ORIGINAL
89.48848364553612,75.0,0.0294985250737463,0.0589738549243168,50.01417164187192,RF,0,0,0,0,0,androcrawl_intents,ORIGINAL
98.06889136997064,95.02169197396964,86.14552605703048,90.36616812790098,92.80763514330002,RF,0,0,0,0,0,androcrawl_api_calls,ORIGINAL
99.35466702148892,99.70856102003644,98.54185418541854,99.1217745586238,99.18650328519556,RF,0,0,0,0,0,drebin_215_api_calls_limpo,ORIGINAL
98.0313913274807,98.81305637982196,95.8273381294964,97.2972972972973,97.57597383469331,RF,0,0,0,0,0,drebin_215_permissions,ORIGINAL
98.64470909316462,96.7987321711569,90.08849557522124,93.32314744079451,94.86922872612868,RF,0,0,0,0,0,androcrawl_all,ORIGINAL
67.6443202979516,55.066336200612334,67.93165467625899,60.82615347451485,67.70369141579938,RF,0,0,0,0,0,drebin_215_commands,ORIGINAL
97.55303192629098,98.46153846153848,60.7808652831516,75.16311439756417,80.35962971187493,RF,0,0,0,0,0,motodroid_permissions,ORIGINAL
99.92016499234914,100.0,99.78397839783976,99.89187240944317,99.89198919891987,RF,0,0,0,0,0,drebin_215_all,ORIGINAL
89.58669313153868,66.44067796610169,1.9272369714847597,3.745819397993312,50.90643403991165,RF,0,0,0,0,0,androcrawl_permissions,ORIGINAL
94.6539532890508,69.63882618510158,21.702427013717905,33.09198176454814,60.54432505909843,RF,0,0,0,0,0,motodroid_intents,ORIGINAL
79.24980047885076,75.63025210084034,64.74820143884892,69.76744186046511,76.25337467467985,RF,0,0,0,0,0,drebin_215_intents,ORIGINAL
98.7143775444611,96.59326963024512,81.77981005979599,88.57142857142857,90.7963553915472,RF,0,0,0,0,0,motodroid_all,ORIGINAL
97.4908935076066,81.71471927162366,75.76503693281744,78.62748676765833,87.3326291287858,RF,0,0,0,0,0,motodroid_api_calls,ORIGINAL
95.97385901007073,90.09983361064891,38.09356313753078,53.54758961681089,68.91102050823193,SVM,0,0,1,0,0,top_1201_features_with_f_classif_motodroid_permissions,RFG
97.5519993383782,95.74343339587244,80.28515240904622,87.33554390843939,89.93289990314375,SVM,0,0,1,0,0,top_31_features_with_chi2_androcrawl_all,RFG
98.22367107976848,99.12671869193608,96.03960396039604,97.55874554265336,97.77180704562647,SVM,0,0,1,0,0,top_101_features_with_f_classif_drebin_215_all,RFG
95.14498536844906,98.12674372259865,88.56115107913669,93.09888447721686,93.78458567042524,SVM,0,0,1,0,0,top_101_features_with_f_classif_drebin_215_permissions,RFG
89.50709175867345,55.376344086021504,1.012782694198623,1.989185013518733,50.45844883190789,SVM,0,0,1,0,0,top_41_features_with_chi2_androcrawl_permissions,RFG
94.51039211484894,68.70838881491345,18.14984171649666,28.71452420701168,58.80682128492594,SVM,0,0,1,0,0,top_201_features_with_chi2_motodroid_intents,RFG
79.17664272412875,75.55228276877762,64.5863309352518,69.6402598661883,76.16188644694208,SVM,0,0,1,0,0,top_21_features_with_f_classif_drebin_215_intents,RFG
95.9802871223484,71.04919460165434,57.40415054519873,63.501945525291816,77.94341052255943,SVM,0,0,1,0,0,top_1401_features_with_chi2_motodroid_api_calls,RFG
96.48382258410112,79.345703125,57.157931762223,66.44857902269474,78.09638664913122,SVM,0,0,1,0,0,top_3001_features_with_chi2_motodroid_all,RFG
97.71430343629822,95.02206131915376,82.58603736479843,88.36866747330212,91.03886558981816,SVM,0,0,1,0,0,top_21_features_with_f_classif_androcrawl_api_calls,RFG
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,SVM,0,0,1,0,0,top_7_features_with_f_classif_androcrawl_intents,RFG
92.24935134056284,93.37944664031622,85.05850585058505,89.02496467263306,90.76162945547404,SVM,0,0,1,0,0,top_21_features_with_f_classif_drebin_215_api_calls_limpo,RFG
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,SVM,0,0,1,0,0,top_7_features_with_chi2_androcrawl_intents,RFG
98.71652024855368,96.59468438538204,81.81498417164967,88.59264901923443,90.81394244747403,RF,0,0,1,0,0,top_3001_features_with_chi2_motodroid_all,RFG
89.5649836662118,63.57142857142857,1.750245821042281,3.406698564593301,50.81620560269554,RF,0,0,1,0,0,top_41_features_with_chi2_androcrawl_permissions,RFG
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RF,0,0,1,0,0,top_7_features_with_chi2_androcrawl_intents,RFG
94.0655977646198,95.0705586700174,88.53285328532853,91.68530947054435,92.92092221041436,RF,0,0,1,0,0,top_21_features_with_f_classif_drebin_215_api_calls_limpo,RFG
97.91382376049292,94.39120017425398,85.2212389380531,89.5721372467962,92.31314482657376,RF,0,0,1,0,0,top_21_features_with_f_classif_androcrawl_api_calls,RFG
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RF,0,0,1,0,0,top_7_features_with_f_classif_androcrawl_intents,RFG
99.67400705209234,99.89126495106925,99.22592259225922,99.5574821638219,99.58130236831198,RF,0,0,1,0,0,top_101_features_with_f_classif_drebin_215_all,RFG
79.2098962490024,75.5672268907563,64.69424460431654,69.70930232558139,76.21056679350482,RF,0,0,1,0,0,top_21_features_with_f_classif_drebin_215_intents,RFG
97.16014897579144,97.90927758073548,94.33453237410072,96.08866904827332,96.57629953445432,RF,0,0,1,0,0,top_101_features_with_f_classif_drebin_215_permissions,RFG
98.18467518504734,96.06876916338152,86.26352015732547,90.90249715055435,92.9243942599432,RF,0,0,1,0,0,top_31_features_with_chi2_androcrawl_all,RFG
97.54874651810584,98.57061177815896,60.640168835736894,75.08710801393728,80.29156318666394,RF,0,0,1,0,0,top_1201_features_with_f_classif_motodroid_permissions,RFG
