Accuracy,Precision,Recall,F1_Score,RoC_AuC,Metodo,Modelo,Dataset
97.91382376049292,94.39120017425398,85.2212389380531,89.5721372467962,92.31314482657376,RFG,RF,rf_output_top_21_features_with_f_classif_androcrawl_api_calls.csv.csv
94.0655977646198,95.0705586700174,88.53285328532853,91.68530947054435,92.92092221041436,RFG,RF,rf_output_top_21_features_with_f_classif_drebin_215_api_calls_limpo.csv.csv
79.2098962490024,75.5672268907563,64.69424460431654,69.70930232558139,76.21056679350482,RFG,RF,rf_output_top_21_features_with_f_classif_drebin_215_intents.csv.csv
98.71652024855368,96.59468438538204,81.81498417164967,88.59264901923443,90.81394244747403,RFG,RF,rf_output_top_3001_features_with_chi2_motodroid_all.csv.csv
98.18467518504734,96.06876916338152,86.26352015732547,90.90249715055435,92.9243942599432,RFG,RF,rf_output_top_31_features_with_chi2_androcrawl_all.csv.csv
89.5649836662118,63.57142857142857,1.750245821042281,3.406698564593301,50.81620560269554,RFG,RF,rf_output_top_41_features_with_chi2_androcrawl_permissions.csv.csv
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RFG,RF,rf_output_top_7_features_with_chi2_androcrawl_intents.csv.csv
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RFG,RF,rf_output_top_7_features_with_f_classif_androcrawl_intents.csv.csv
98.22367107976848,99.12671869193608,96.03960396039604,97.55874554265336,97.77180704562647,RFG,SVM,svm_output_top_101_features_with_f_classif_drebin_215_all.csv.csv
95.14498536844906,98.12674372259865,88.56115107913669,93.09888447721686,93.78458567042524,RFG,SVM,svm_output_top_101_features_with_f_classif_drebin_215_permissions.csv.csv
95.97385901007073,90.09983361064891,38.09356313753078,53.54758961681089,68.91102050823193,RFG,SVM,svm_output_top_1201_features_with_f_classif_motodroid_permissions.csv.csv
95.9802871223484,71.04919460165434,57.40415054519873,63.501945525291816,77.94341052255943,RFG,SVM,svm_output_top_1401_features_with_chi2_motodroid_api_calls.csv.csv
94.51039211484894,68.70838881491345,18.14984171649666,28.71452420701168,58.80682128492594,RFG,SVM,svm_output_top_201_features_with_chi2_motodroid_intents.csv.csv
97.71430343629822,95.02206131915376,82.58603736479843,88.36866747330212,91.03886558981816,RFG,SVM,svm_output_top_21_features_with_f_classif_androcrawl_api_calls.csv.csv
92.24935134056284,93.37944664031622,85.05850585058505,89.02496467263306,90.76162945547404,RFG,SVM,svm_output_top_21_features_with_f_classif_drebin_215_api_calls_limpo.csv.csv
79.17664272412875,75.55228276877762,64.5863309352518,69.6402598661883,76.16188644694208,RFG,SVM,svm_output_top_21_features_with_f_classif_drebin_215_intents.csv.csv
96.48382258410112,79.345703125,57.157931762223,66.44857902269474,78.09638664913122,RFG,SVM,svm_output_top_3001_features_with_chi2_motodroid_all.csv.csv
97.5519993383782,95.74343339587244,80.28515240904622,87.33554390843939,89.93289990314375,RFG,SVM,svm_output_top_31_features_with_chi2_androcrawl_all.csv.csv
89.50709175867345,55.376344086021504,1.012782694198623,1.989185013518733,50.45844883190789,RFG,SVM,svm_output_top_41_features_with_chi2_androcrawl_permissions.csv.csv
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RFG,SVM,svm_output_top_7_features_with_chi2_androcrawl_intents.csv.csv
89.48848364553612,100.0,0.0196656833824975,0.0393236335037357,50.00983284169125,RFG,SVM,svm_output_top_7_features_with_f_classif_androcrawl_intents.csv.csv
97.11677624777737,96.22948766128022,75.53588987217306,84.63614829504765,87.5940811159345,Sig_API,RF,rf_output_resultado-selecao-androcrawl_all.csv
95.8710664516396,95.88410104011888,63.45132743362832,76.36686390532545,81.56566279262108,Sig_API,RF,rf_output_resultado-selecao-androcrawl_api_calls.csv
89.48641607740974,0.0,0.0,0.0,50.0,Sig_API,RF,rf_output_resultado-selecao-androcrawl_intents.csv
89.48641607740974,0.0,0.0,0.0,50.0,Sig_API,RF,rf_output_resultado-selecao-androcrawl_permissions.csv
93.54001729758498,91.47665580890336,90.999099909991,91.23725295550943,93.0143241213104,Sig_API,RF,rf_output_resultado-selecao-drebin_215_all.csv
95.74878584259196,94.8703906535232,93.55535553555356,94.20828423819452,95.29498464831708,Sig_API,RF,rf_output_resultado-selecao-drebin_215_api_calls_limpo.csv
73.4902899707369,64.07871198568873,64.42446043165468,64.25112107623318,71.6170423728556,Sig_API,RF,rf_output_resultado-selecao-drebin_215_intents.csv
89.79116786379356,96.36028564846808,75.23381294964028,84.4965155034845,86.78322137562218,Sig_API,RF,rf_output_resultado-selecao-drebin_215_permissions.csv
94.0304263981144,53.32555425904317,16.07456911712979,24.702702702702705,57.58094485929276,Sig_API,RF,rf_output_resultado-selecao-motodroid_intents.csv
97.11574246371418,96.26379137412236,75.49655850540806,84.62471068003968,87.57614829454687,Sig_API,SVM,svm_output_resultado-selecao-androcrawl_all.csv
95.8710664516396,95.88410104011888,63.45132743362832,76.36686390532545,81.56566279262108,Sig_API,SVM,svm_output_resultado-selecao-androcrawl_api_calls.csv
89.48641607740974,0.0,0.0,0.0,50.0,Sig_API,SVM,svm_output_resultado-selecao-androcrawl_intents.csv
89.48641607740974,0.0,0.0,0.0,50.0,Sig_API,SVM,svm_output_resultado-selecao-androcrawl_permissions.csv
93.40695895150024,92.19674556213018,89.75697569756976,90.96050351181246,92.65180992561054,Sig_API,SVM,svm_output_resultado-selecao-drebin_215_all.csv
95.12341161599362,94.07678244972578,92.63726372637264,93.3514739229025,94.60904976103352,Sig_API,SVM,svm_output_resultado-selecao-drebin_215_api_calls_limpo.csv
73.4902899707369,64.07871198568873,64.42446043165468,64.25112107623318,71.6170423728556,Sig_API,SVM,svm_output_resultado-selecao-drebin_215_intents.csv
89.68475658419793,96.0698689956332,75.17985611510791,84.35072142064372,86.68764861475108,Sig_API,SVM,svm_output_resultado-selecao-drebin_215_permissions.csv
